chapter,scope,mae,rmse,r2,log_r2,spearman,smape,n,model
8446,per_chapter,821282.8391075857,3253437.1176303173,0.0016663542936720122,0.29725064347784125,0.5578332573922468,122.70959420468834,68,GAT_first_none_perproduct
8447,per_chapter,294404.8096860644,665887.7779612864,0.44200916089342446,0.049768398622188625,0.4580222786789135,113.61912820066999,85,GAT_first_none_perproduct
8448,per_chapter,223844.39560709338,997744.7205502765,0.002228194245451509,0.21855498670642737,0.5456873847432276,110.90571064939488,249,GAT_first_none_perproduct
8450,per_chapter,547275.8172758808,2118080.096707148,0.1247346711316728,0.25610248725297624,0.5258666302865833,125.38720884229475,161,GAT_first_none_perproduct
8451,per_chapter,205831.9573465279,597266.797599036,0.03210683409536075,0.33930934965152426,0.6591681303173607,103.91451269904132,242,GAT_first_none_perproduct
8452,per_chapter,189991.93889480218,536062.0617875631,0.455703170085738,0.22921079353774987,0.5619719799567471,117.12373689654396,158,GAT_first_none_perproduct
8453,per_chapter,137631.922217738,396804.46067616565,0.096758164309653,-0.005704839474156342,0.4932227379373661,120.93634005060647,98,GAT_first_none_perproduct
8454,per_chapter,621489.5625933632,1717031.5204820614,-0.10044606803322909,0.15720649586373625,0.5046466641972259,128.87869964574335,90,GAT_first_none_perproduct
8455,per_chapter,663446.6801660899,1321303.1436698625,0.2604358259517574,0.30518375172405865,0.571061251086071,122.05399069173049,104,GAT_first_none_perproduct
8456,per_chapter,727067.5857504255,3120077.597622619,0.020266556351025256,0.2167431034733448,0.49720666054640034,117.44917407385613,162,GAT_first_none_perproduct
8457,per_chapter,2039871.5192323,8394217.99914285,0.15081180191578836,0.07327751083872203,0.3912415255569326,126.14342723288294,60,GAT_first_none_perproduct
8458,per_chapter,920989.9409886331,3386336.666802701,0.0994332447165368,0.2557522629509419,0.5619960657184169,110.74242556771132,105,GAT_first_none_perproduct
8459,per_chapter,170264.91441775183,692821.3717947652,0.01210862706232918,0.2602495311635753,0.6013921160656166,106.52743487313008,267,GAT_first_none_perproduct
8460,per_chapter,311263.3340038009,1025923.2154404895,0.02936746354686337,0.3555165599380148,0.6789594074162827,111.56308355599664,222,GAT_first_none_perproduct
8461,per_chapter,216879.7303393975,777964.5710905138,0.23305536407561478,0.2698156380020106,0.6600634425640608,113.32459492427648,126,GAT_first_none_perproduct
8462,per_chapter,424901.8936016045,1074969.4985999654,0.3443051043540286,0.272234324357732,0.6810353037171103,113.59955059635655,220,GAT_first_none_perproduct
8463,per_chapter,372949.042380097,757793.0956349875,-0.27371866176002624,0.31451838095846896,0.6312723543025457,107.63558903528643,97,GAT_first_none_perproduct
8464,per_chapter,220943.65691015552,505648.13651114923,0.25022461462943557,0.525066208397502,0.7735444029629497,104.73980345518999,96,GAT_first_none_perproduct
8465,per_chapter,232965.37667660526,655164.2828141201,0.1875596950041316,0.3931415836403145,0.6856229207158551,104.52784871809206,260,GAT_first_none_perproduct
8466,per_chapter,383476.4610840767,837959.8268467484,0.4695661135014244,0.42657676550386125,0.7397221387355922,105.986190111269,235,GAT_first_none_perproduct
8467,per_chapter,371258.83251698123,1701401.8090733152,0.3630384976551464,0.5074727189506172,0.7420916356698211,101.29466340372795,341,GAT_first_none_perproduct
8468,per_chapter,59889.81594853156,149899.01078043046,0.3709763440075913,0.4652823039554784,0.729254563705222,102.62705728527446,120,GAT_first_none_perproduct
8470,per_chapter,348408.8017228981,1546967.208554138,0.06513735657673092,0.13056111280326999,0.4585300651208071,122.91345650737951,166,GAT_first_none_perproduct
8471,per_chapter,5947676.460036495,43314033.021093965,0.17068493848193722,0.6144839887862659,0.8241325421388792,103.37891029495343,328,GAT_first_none_perproduct
8472,per_chapter,342174.4368936229,1062188.72178809,0.02510329024267155,0.09187196661521757,0.36126760563380284,116.66430975632431,71,GAT_first_none_perproduct
8473,per_chapter,4109010.2907622047,22304836.74605964,0.08243887549302797,0.342862942151838,0.6581744907128162,121.96657093865784,178,GAT_first_none_perproduct
8474,per_chapter,449036.71831294923,1237999.7003474473,0.3379060400922236,0.3232954689025417,0.6079121565002762,102.81771336884759,235,GAT_first_none_perproduct
8475,per_chapter,1799850.2225002435,5802583.136383226,-0.07511215130429116,0.11883380502399932,0.39700108758036123,130.76149604832642,73,GAT_first_none_perproduct
8476,per_chapter,259337.06905000098,693607.1335983891,-0.033931690551900484,0.23640721634933703,0.5390853683607496,109.1605709510145,108,GAT_first_none_perproduct
8477,per_chapter,1122254.0047490094,3291636.333679185,0.021693592982259702,0.3246979206509967,0.6573277328880407,113.01434167634368,237,GAT_first_none_perproduct
8478,per_chapter,384934.0251790805,922011.8569176489,-0.05912470126057734,0.12538803799070442,0.3898989898989899,132.51628056432384,55,GAT_first_none_perproduct
8479,per_chapter,1394521.5304761997,5476889.28028379,0.07293725860217082,0.27552161059649394,0.5559447227513181,113.9739717761596,354,GAT_first_none_perproduct
8480,per_chapter,472898.2552905935,1924838.9199082784,0.18758131405223677,0.23689860258325712,0.5714049674246234,110.3804067274608,260,GAT_first_none_perproduct
8481,per_chapter,1902744.9884770063,7169899.407115233,0.24002969027848775,0.49379722365673084,0.7774095863301006,108.02577881217552,241,GAT_first_none_perproduct
8482,per_chapter,658283.0304837432,1841634.1029032844,0.17063103455245465,0.35200243013825816,0.7024271504133134,116.17091017385242,283,GAT_first_none_perproduct
